721318379437600000,im proud of myself my feet not so much im going to have to_,0,0
721318331500871000,team burning possums i just finished my leg,4,0
721318162504007000,el paso,0,1
721318121651499000,im at sky house dallas in dallas tx,0,0
721318000750493000,interested in a near tx this could be a great fit,4,0
721317979384909000,,4,0
721317949118648000,join the the vitamin shoppe team see our latest opening here tx,4,0
721317883914153000,texas kid the woodlands texas,1,1
721317624131547000,remember tha times__ houston texas,0,1
721317530170630000,tx nurse tech at umc,5,0
721317500512645000,you look like youve been for breakfast at the heartbreak hotel and_,0,0
721317462814248000,to all of my impatient family and friends now drop some name_,0,0
721317459974819000,im proud of myself my feet not so much im going to have to_,0,0
721317437879279000,have any saturday plans all day long el paso roller derby will be at epcon raffling off these_,0,0
721317429071187000,oh texas every big structure seems to have signs telling you just how much gun you can bring_,0,0
721317405922824000,im at cvs in new braunfels tx,0,0
721317399841083000,eagles continue to take care of business on softball diamond,0,0
721317366823526000,day of renaissance austin hotel in austin tx,1,2
721317317137707000,you really should just prove yourself to yourself and not try to prove yourself to others,0,0
721317272405430000,alert operations manager cvs health tx,5,0
721317234950434000,im at in the woodlands tx,0,1
721317213404155000,love these nude nails on sarah with a splash of sparkle,2,0
721317075914854000,want to work in tx view our latest opening,5,0
721316982835036000,wait_what austins new boardwalk on town lake,0,1
721316933493198000,this is your gateway into a new way of fitness that is fun exciting and ever changing begin_,0,0
721316909845712000,shout out to maya_tigers for rocking out eshop shirt with my boi they where on their way_,1,0
721316842837553000,waiting for work,3,0
721316831093399000,is a day for play just ask our mountain lions animal world snake farm zoo,1,1
721316817986129000,want to work at cintas corporation were in tx click for details,3,0
721316777389502000,why compare yourself to others no one else in the whole world can do a better job of being you than you,0,0
721316695680266000,see our latest tx and click to apply registered nurse rn icu,3,0
721316557008302000,i love this place howl at the moon houston,0,1
721316523101548000,my friend josh ladies he is single howl at the moon houston,0,1
721316466985799000,alert dish machine operator ihop acg texas tx,7,0
721316465031286000,nice morning walk in irving tx irving texas,0,1
721316431925682000,can you recommend anyone for this tx,4,0
721316428914110000,this might be a great fit for you sales lead tx,4,0
721316386018955000,thanks,0,1
721316314699141000,run and shine its beautiful outside,2,0
721316313411502000,funners howl at the moon houston,0,1
721316256364634000,alert dat or oat instructor houston tx ktp graduate tx,5,0
721316210634194000,that time of morning the magnolia pancake haus,2,1
721316207824125000,its buzzfest day,4,0
721316178099093000,birkenstocks make me happy dallas texas,0,1
721316128497119000,carhop server sonic drivein EMO_NEG tx,5,0
721316113024311000,day bp ms150 tully stadium,0,1
721316092065353000,in the news april is child abuse preve tion month aayc,1,1
721316085132210000,interested in a near tx this could be a great fit,4,0
721316010033299000,heading to baylor premiere ready for a great day sic em best western plus waco_,1,1
721315798908841000,cowboys blank cinco ranch advance to title match,0,0
721301254417219000,biden i doubt pope embraces sanders policies,0,0
721301219788980000,can you recommend anyone for this tx,8,0
721301179100057000,ads2020 best marketing tools to help_,3,1
721301173400002000,ads2020 best to help you step up the_,2,1
721301148120973000,ads2020 best marketing tools to_,3,1
721301064377573000,nashville calls at dal in dallas tx,0,1
721301016797249000,after all these years my moment is now houston texas,0,1
721301009184591000,tx general manager at sonic drivein,5,0
721300457562443000,chewys first bp ms150 hull.g,2,4
721300334157541000,see our latest tx and click to apply equipment associate pump,4,0
721300085057961000,and are leading this group next month this isnt a diet this is_,0,2
721299702956847000,fun with paityn at ikea ikea round rock,0,1
721299640390291000,wind mph e barometer in rising slowly temperature rain today humidity,0,0
721299546857283000,favorite health care staffing medical assistant ma do tx,2,0
721299456822353000,for the weekend george bush intercontinental airport,1,1
721299255906988000,ms150 jack rhodes stadium in katy tx,0,1
721298947008913000,we are ready to roll jack rhodes memorial stadium,3,2
721298771464708000,join the apex systems team see our latest opening here texas,4,0
721298740154204000,can you recommend anyone for this tx,5,0
721298726367547000,want to work at sonic drivein were in tx click for details,5,0
721298565415342000,pharmacy technician cvs health EMO_NEG tx,5,0
721298178117480000,interested in a near tx this could be a great fit,7,0
721297832666382000,happy birthday to my best friend you finally made it this is_,0,0
721297761316904000,want to work in tx view our latest opening,5,0
721297696267436000,interested in a near in this could be a great fit,4,0
721297466675609000,good morning fam dallas texas,2,2
721297434471755000,academy corporate office,5,1
721297426200399000,if youre a professional in tx check out this,5,0
721297397880528000,this might be a great fit for you registered nurse rn ms per diem,2,0
721297327428751000,,0,1
721297224332804000,in tx nurse assistant at umc,5,0
721297176811294000,bat city bombshells at,0,1
721297129826705000,weather now fog mph eastsoutheast wind,0,0
721297125967941000,seguin pd takes down members of the mexican mafia in series of raids,0,0
721297122813870000,katy high school baseball players accused of coaching for money,0,0
721297119168999000,wishing a safe ride to la grange today for all the bpms150 cyclists day cancelled due to weather concerns._,0,0
